Supplement	ID	Title	URL	Source	Type	Year	Educational Notes
arginine	arg-007	Effect of l-Arginine Supplementation on Blood Pressure in Adults: A Systematic Review and Dose-Response Meta-analysis of Randomized Clinical Trials	https://pubmed.ncbi.nlm.nih.gov/34967840/	PubMed	meta-analysis	2022	"- A systematic review and dose-response meta-analysis of randomized clinical trials on L-arginine and blood pressure.
- Found significant decreases in both systolic blood pressure (SBP) and diastolic blood pressure (DBP) after L-arginine supplementation.
- The effective dosage of L-arginine supplementation was detected to be ≥4 g/d for SBP, independent of trial duration."
arginine	arg-008	Effects of Arginine Supplementation on Athletic Performance Based on Energy Metabolism: A Systematic Review and Meta-Analysis	https://pmc.ncbi.nlm.nih.gov/articles/PMC7282262/	PMC	meta-analysis	2020	"- A systematic review and meta-analysis on the effects of Arginine (Arg) supplementation on aerobic and anaerobic performance.
- Found that Arg supplementation significantly improved both aerobic and anaerobic performance.
- Suggests acute protocols of 0.15 g/kg of body weight 60–90 min before exercise, or chronic protocols of 1.5–2 g/day for 4–7 weeks for aerobic performance."
ashwagandha	ashwa-007	The effect of Ashwagandha (Withania somnifera) on sports performance: a systematic review and meta-analysis	https://journalofsportsmedicine.org/full-text/752/eng	Turkish Journal of Sports Medicine	meta-analysis	2025	"- A systematic review and meta-analysis on the effect of Ashwagandha on sports performance.
- Found that Ashwagandha supplementation (300 mg to 500 mg aqueous root extract daily for 8 to 12 weeks) is effective in enhancing sports performance.
- Showed significant improvements in cardiorespiratory fitness (VO2max), muscle strength, and recovery."
ashwagandha	ashwa-008	Effects of Ashwagandha (Withania Somnifera) on stress and anxiety: A systematic review and meta-analysis	https://www.sciencedirect.com/science/article/abs/pii/S1550830724001691	ScienceDirect	meta-analysis	2024	"- A systematic review and meta-analysis of 9 studies (558 patients) on Ashwagandha for stress and anxiety.
- Found that Ashwagandha significantly reduced stress, anxiety, and serum cortisol levels compared to placebo.
- The findings suggest Ashwagandha is a promising natural intervention for stress and anxiety management."
ashwagandha	ashwa-009	Effect of Ashwagandha (Withania somnifera) extract on sleep: A systematic review and meta-analysis	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0257843	PLOS One	meta-analysis	2021	"- A systematic review and meta-analysis of five randomized controlled trials on Ashwagandha extract and sleep.
- Found a small but significant effect on overall sleep, with more prominent effects in adults with insomnia, treatment dosage ≥600 mg/day, and duration ≥8 weeks.
- Also found to improve mental alertness on rising and anxiety level."
arginine	arg-009	The Effect of Amino Acids on Wound Healing: A Systematic Review and Meta-Analysis on Arginine and Glutamine	https://pmc.ncbi.nlm.nih.gov/articles/PMC8399682/	PMC	meta-analysis	2021	"- A systematic review and meta-analysis on the effect of arginine and glutamine supplementation on wound healing.
- Arginine supplementation showed a significant effect on hydroxyproline content, a key component of collagen and wound healing.
- Glutamine supplementation showed significant benefits in reducing inflammation (IL-6, TNFα, CRP) and length of hospital stay."
arginine	arg-010	Arginine on immune function and post-operative obstructions in colorectal cancer patients: a meta-analysis	https://pmc.ncbi.nlm.nih.gov/articles/PMC11370068/	PMC	meta-analysis	2024	"- A meta-analysis on the impact of arginine on immune function and postoperative complications in colorectal cancer (CRC) patients.
- Arginine supplementation showed notable improvements in humoral immunity (IgA, IgG, IgM) and cellular immunity (CD4+ T cell count).
- Also found a lower rate of surgical site infections (SSIs) and a shorter length of hospital stay (LOS) in the arginine group."
antioxidants	antiox-007	Vitamins C and E and Beta Carotene Supplementation and Cancer Risk: A Randomized Controlled Trial	https://pmc.ncbi.nlm.nih.gov/articles/PMC2615459/	PMC	RCT	2009	"- A large randomized controlled trial (RCT) on the effect of Vitamin C, Vitamin E, and Beta Carotene on cancer risk.
- Found no statistically significant effects of any antioxidant on total cancer incidence or cancer mortality.
- The study suggests that supplementation with these antioxidants offers no overall benefits in the primary prevention of total cancer."
antioxidants	antiox-008	Dietary Supplements and Risk of Cause-Specific Death, Cardiovascular Disease, and Cancer: A Systematic Review and Meta-Analysis of Primary Prevention Trials	https://www.sciencedirect.com/science/article/pii/S216183132300220X	ScienceDirect	meta-analysis	2017	"- A systematic review and meta-analysis of primary prevention trials on dietary supplements and risk of cause-specific death, CVD, and cancer.
- Found that Vitamin E significantly reduced cardiovascular mortality risk, and folic acid reduced the risk of CVD.
- However, Vitamin A was linked to an increased cancer risk, and β-carotene given singly was associated with an increased risk of all-cause mortality by 6%."
antioxidants	antiox-009	A Systematic Review of Effects of Vitamin E on the Cardiovascular System	https://pubmed.ncbi.nlm.nih.gov/34277234/	PubMed/Cureus	systematic-review	2021	"- A systematic review to determine the association between Vitamin E and cardiovascular diseases (CVDs).
- The majority of the papers (75% of the total population) suggested no role of Vitamin E in preventing CVD and CVD mortality.
- The review concludes that one should be prudent about taking Vitamin E supplementation for cardiovascular risk prevention."
ashwagandha	ashwa-010	The effect of Ashwagandha (Withania somnifera) on sports performance: a systematic review and meta-analysis	https://journalofsportsmedicine.org/full-text/752/eng	Turkish Journal of Sports Medicine	meta-analysis	2025	"- A systematic review and meta-analysis of eight studies on Ashwagandha and sports performance.
- Ashwagandha supplementation (300-500 mg daily for 8-12 weeks) was found to be effective in enhancing sports performance.
- Significantly improved VO2max in athletes by 4.09 ml/min/kg compared to placebo, and also improved muscle strength and recovery."
arginine	arg-010	Impact of oral preoperative and perioperative immunonutrition on postoperative infection and mortality in patients undergoing cancer surgery: systematic review and meta-analysis with trial sequential analysis	https://academic.oup.com/bjsopen/article/4/5/764/6136098	BJS Open	meta-analysis	2020	"- A systematic review and meta-analysis on the impact of immunonutrition (often containing Arginine) on postoperative outcomes in cancer surgery.
- Immunonutrition significantly reduced overall infectious complications (RR 0.58) and surgical site infections (SSI) (RR 0.65).
- The study found that 30-day mortality was not altered by immunonutrition."
antioxidants	antiox-010	Limited evidence for a beneficial effect of vitamin C supplementation on biomarkers of cardiovascular diseases: an umbrella review of systematic reviews and meta-analyses	https://pubmed.ncbi.nlm.nih.gov/30683434/	PubMed/Nutr Res	umbrella-review	2019	"- An umbrella review of systematic reviews and meta-analyses on the effects of Vitamin C supplementation on cardiovascular disease (CVD) biomarkers.
- Concluded that the current evidence base is weak, with limited evidence for a beneficial effect on CVD risk markers.
- Suggested that certain subgroups (older people, obese, those with lower baseline Vitamin C status) may be more responsive to supplementation."
antioxidants	antiox-011	Vitamin A supplementation for preventing morbidity and mortality in children from six months to five years of age	https://pmc.ncbi.nlm.nih.gov/articles/PMC8925277/	Cochrane Database Syst Rev	meta-analysis	2022	"- A Cochrane systematic review and meta-analysis of 19 trials (1.2 million children) on Vitamin A supplementation (VAS) in children.
- Found a 12% reduction in the risk of all-cause mortality for VAS compared with control (high-certainty evidence).
- VAS also reduced mortality due to diarrhea and reduced the incidence of diarrhea, measles, and night blindness."
ashwagandha	ashwa-010	A systematic review of the clinical use of Withania somnifera (Ashwagandha) to ameliorate cognitive dysfunction	https://onlinelibrary.wiley.com/doi/abs/10.1002/ptr.6552	Phytotherapy Research	systematic-review	2020	"- A systematic review to evaluate the clinical evidence for Ashwagandha's role in managing cognitive dysfunction.
- Found early clinical evidence (from five studies) to support cognitive benefits, including improved performance on cognitive tasks, executive function, attention, and reaction time.
- The herb appears to be well tolerated with minimal side effects."
vitamin-b12	b12-001	Effects of Vitamin B12 Supplementation on Cognitive Function, Depressive Symptoms, and Fatigue: A Systematic Review, Meta-Analysis, and Meta-Regression	https://www.mdpi.com/2072-6643/13/3/923	Nutrients	meta-analysis	2021	"- A systematic review and meta-analysis of 16 randomized controlled trials (RCTs) on the effects of Vitamin B12 supplementation.
- Found no evidence for an effect of B12 alone or B complex supplementation on any subdomain of cognitive function outcomes in the general population.
- Also found no overall effect of vitamin supplementation on measures of depression."
vitamin-b12	b12-002	Efficacy of different routes of vitamin B12 supplementation for the treatment of patients with vitamin B12 deficiency: A systematic review and network meta-analysis	https://pubmed.ncbi.nlm.nih.gov/38231320/	Ir J Med Sci	meta-analysis	2024	"- A systematic review and network meta-analysis comparing oral, intramuscular (IM), and sublingual (SL) routes for Vitamin B12 supplementation.
- Concluded that all three routes can effectively increase Vitamin B12 levels without statistically significant differences between them.
- The IM route was the top-ranked statistically for increasing B12 levels, but the difference was not clinically significant."
vitamin-b12	b12-003	B12 as a Treatment for Peripheral Neuropathic Pain: A Systematic Review	https://www.mdpi.com/2072-6643/12/8/2221	Nutrients	systematic-review	2020	"- A systematic review on the use of Vitamin B12 (cobalamin) for peripheral neuropathic pain, even in the absence of B12 deficiency.
- Found evidence for the therapeutic effect of B12 in the treatment of post-herpetic neuralgia and painful peripheral neuropathy.
- B12 is thought to alleviate pain by promoting myelination, increasing nerve regeneration, and decreasing ectopic nerve firing."
vitamin-b12	b12-004	The efficacy of vitamin B12 supplementation for treating vitamin B12 deficiency and peripheral neuropathy in metformin-treated type 2 diabetes mellitus patients: A systematic review	https://www.sciencedirect.com/science/article/pii/S187140212200248X	Diabetes & Metabolic Syndrome: Clinical Research & Reviews	systematic-review	2022	"- A systematic review focusing on metformin-treated Type 2 Diabetes Mellitus (T2DM) patients.
- Metformin-treated T2DM patients are at higher risk of Vitamin B12 deficiency and neuropathy.
- Vitamin B12 supplementation increases serum levels and improves neuropathy symptoms, and should be included in treatment guidelines."
vitamin-b12	b12-005	Association between neuropathy and B-vitamins: A systematic review and meta-analysis	https://onlinelibrary.wiley.com/doi/10.1111/ene.14786	European Journal of Neurology	meta-analysis	2021	"- A systematic review and meta-analysis on the association between peripheral neuropathy (PN) and B-vitamins.
- PN was significantly associated with lowered B12 levels and elevated methylmalonic acid and homocysteine (biomarkers of B12 deficiency).
- B12 treatment showed a non-significant association with symptom improvement, suggesting the need for more robust trials."
vitamin-b12	b12-006	The Neurological Sequelae of Vitamin B12 Deficiency: A Systematic Review and Randomized Controlled Trial	https://pmc.ncbi.nlm.nih.gov/articles/PMC12143585/	Cureus	systematic-review	2025	"- A systematic review of RCTs on the neurological effects of B12 supplementation.
- Supplementation is effective for patients with overt clinical deficiency (peripheral neuropathy, cognitive decline, myelopathy).
- Oral therapy showed similar efficacy to intramuscular injections, with better tolerability and lower cost.
- Limited neurological benefit was found in older adults with subclinical deficiency."
vitamin-b12	b12-007	Causal relationship between B vitamins and neuropsychiatric disorders: A systematic review and meta-analysis	https://www.sciencedirect.com/science/article/pii/S0149763425000685	Neuroscience & Biobehavioral Reviews	meta-analysis	2025	"- A Mendelian randomization (MR) meta-analysis on the causal relationship between B vitamins and neuropsychiatric disorders (NPDs).
- Vitamin B12 appears to safeguard against Autism Spectrum Disorder (ASD) and Intellectual Disability (ID).
- However, the study also suggests B12 may raise the risk for Schizophrenia (SCZ) and Bipolar Disorder (BD), highlighting the complexity of B vitamin effects on mental health."
vitamin-b12	b12-008	The Effectiveness of Cobalamin (B12) Treatment for Autism Spectrum Disorder: A Systematic Review and Meta-Analysis	https://www.mdpi.com/2075-4426/11/8/784	Journal of Personalized Medicine	meta-analysis	2021	"- A systematic review and meta-analysis on the use of B12 (specifically methylcobalamin, mB12) for Autism Spectrum Disorder (ASD).
- mB12 treatment was associated with significant improvements in methylation capacity and the total glutathione/oxidized glutathione (GSH/GSSG) redox ratio.
- These biochemical improvements were significantly associated with clinical improvements in core and associated ASD symptoms, including expressive communication and social skills."
vitamin-b12	b12-009	Diabetic Peripheral Neuropathy	https://www.ncbi.nlm.nih.gov/books/NBK442009/	StatPearls (NCBI Bookshelf)	review	2024	"- A comprehensive review of Diabetic Peripheral Neuropathy (DPN).
- Lists nutritional deficiencies, specifically **low B12**, as a key etiology for peripheral neuropathy.
- Highlights that DPN management includes addressing nutritional deficiencies and that metformin use is a risk factor for B12 deficiency."
folate	nu-001	Folate Supplementation for Peripheral Neuropathy: A Systematic Review	https://www.mdpi.com/2072-6643/17/20/3299	Nutrients	systematic-review	2025	"- A systematic review on the role of folate (Vitamin B9) in managing peripheral neuropathy (PN).
- Showed consistent symptomatic benefits with pain reductions and high symptom resolution rates.
- Observed objective structural improvements in epidermal nerve fiber density (ENFD) and favorable biomarker changes (homocysteine, hs-CRP reduction).
- Folate showed an excellent safety and tolerability profile."
vitamin-b12	b12-010	Efficacy of different routes of vitamin B12 supplementation for the treatment of patients with vitamin B12 deficiency: A systematic review and network meta-analysis	https://link.springer.com/article/10.1007/s11845-023-03602-4	Irish Journal of Medical Science	network-meta-analysis	2024	"- A network meta-analysis comparing oral, intramuscular (IM), and sublingual (SL) routes for B12 deficiency treatment.
- All three routes (IM, oral, and SL) were found to be effective in increasing B12 levels.
- The IM route ranked highest statistically, but the difference was not clinically significant, suggesting oral and sublingual routes are viable alternatives for many patients."
